#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Cont Indv, 5: No. Rec Indv, 6: No. Dead Indv, 7: Sev Cases, 8: Hosp Cases, 9:Q Sev Cases, 10: QNS Cases 
0.000000000000000000e+00,9.969000000000000000e+03,1.600000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.957000000000000000e+03,2.600000000000000000e+01,1.600000000000000000e+01,1.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,9.951000000000000000e+03,3.100000000000000000e+01,1.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
3.000000000000000000e+00,9.943000000000000000e+03,3.600000000000000000e+01,1.700000000000000000e+01,1.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
4.000000000000000000e+00,9.931000000000000000e+03,4.600000000000000000e+01,1.900000000000000000e+01,1.100000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00
5.000000000000000000e+00,9.921000000000000000e+03,5.000000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00
6.000000000000000000e+00,9.912000000000000000e+03,5.600000000000000000e+01,2.600000000000000000e+01,1.600000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00
7.000000000000000000e+00,9.903000000000000000e+03,5.900000000000000000e+01,3.100000000000000000e+01,2.000000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00
8.000000000000000000e+00,9.892000000000000000e+03,6.300000000000000000e+01,3.800000000000000000e+01,2.200000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01
9.000000000000000000e+00,9.877000000000000000e+03,6.800000000000000000e+01,4.800000000000000000e+01,2.900000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01
1.000000000000000000e+01,9.865000000000000000e+03,7.100000000000000000e+01,5.500000000000000000e+01,3.100000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
1.100000000000000000e+01,9.853000000000000000e+03,7.800000000000000000e+01,5.800000000000000000e+01,3.000000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01
1.200000000000000000e+01,9.850000000000000000e+03,7.700000000000000000e+01,6.000000000000000000e+01,2.800000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01
1.300000000000000000e+01,9.835000000000000000e+03,7.700000000000000000e+01,7.200000000000000000e+01,3.900000000000000000e+01,1.600000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01
1.400000000000000000e+01,9.824000000000000000e+03,7.700000000000000000e+01,7.500000000000000000e+01,4.300000000000000000e+01,2.400000000000000000e+01,0.000000000000000000e+00,2.200000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,2.300000000000000000e+01
1.500000000000000000e+01,9.797000000000000000e+03,9.300000000000000000e+01,8.200000000000000000e+01,4.700000000000000000e+01,2.800000000000000000e+01,0.000000000000000000e+00,2.800000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01
1.600000000000000000e+01,9.776000000000000000e+03,1.050000000000000000e+02,8.900000000000000000e+01,4.400000000000000000e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000000e+01
1.700000000000000000e+01,9.760000000000000000e+03,1.110000000000000000e+02,9.600000000000000000e+01,4.600000000000000000e+01,3.300000000000000000e+01,0.000000000000000000e+00,3.500000000000000000e+01,6.000000000000000000e+00,3.000000000000000000e+00,3.400000000000000000e+01
