#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Cont Indv, 5: No. Rec Indv, 6: No. Dead Indv, 7: Sev Cases, 8: Hosp Cases, 9:Q Sev Cases, 10: QNS Cases, 11: Cumulative Inf Count 
0.000000000000000000e+00,1.000000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.996000000000000000e+03,2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
2.000000000000000000e+00,9.993000000000000000e+03,2.000000000000000000e+00,6.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00
3.000000000000000000e+00,9.987000000000000000e+03,5.000000000000000000e+00,1.000000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.000000000000000000e+00,9.981000000000000000e+03,1.000000000000000000e+01,1.200000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.200000000000000000e+01
5.000000000000000000e+00,9.975000000000000000e+03,1.300000000000000000e+01,1.600000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.900000000000000000e+01
6.000000000000000000e+00,9.970000000000000000e+03,1.300000000000000000e+01,2.100000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.400000000000000000e+01
7.000000000000000000e+00,9.965000000000000000e+03,1.500000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+01
8.000000000000000000e+00,9.958000000000000000e+03,2.000000000000000000e+01,2.700000000000000000e+01,1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.800000000000000000e+01
9.000000000000000000e+00,9.952000000000000000e+03,2.300000000000000000e+01,2.900000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.400000000000000000e+01
1.000000000000000000e+01,9.944000000000000000e+03,2.200000000000000000e+01,3.800000000000000000e+01,2.300000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,6.300000000000000000e+01
1.100000000000000000e+01,9.930000000000000000e+03,3.200000000000000000e+01,4.200000000000000000e+01,2.400000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,7.800000000000000000e+01
1.200000000000000000e+01,9.920000000000000000e+03,3.600000000000000000e+01,4.900000000000000000e+01,3.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,8.900000000000000000e+01
1.300000000000000000e+01,9.902000000000000000e+03,5.200000000000000000e+01,4.900000000000000000e+01,3.000000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+00,2.100000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,1.070000000000000000e+02
1.400000000000000000e+01,9.891000000000000000e+03,5.700000000000000000e+01,5.500000000000000000e+01,3.400000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+00,2.700000000000000000e+01,6.000000000000000000e+00,3.000000000000000000e+00,1.100000000000000000e+01,1.190000000000000000e+02
1.500000000000000000e+01,9.886000000000000000e+03,5.500000000000000000e+01,6.100000000000000000e+01,3.700000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00,2.900000000000000000e+01,6.000000000000000000e+00,3.000000000000000000e+00,1.500000000000000000e+01,1.250000000000000000e+02
1.600000000000000000e+01,9.867000000000000000e+03,6.600000000000000000e+01,6.900000000000000000e+01,3.900000000000000000e+01,7.000000000000000000e+00,1.000000000000000000e+00,3.200000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,1.700000000000000000e+01,1.450000000000000000e+02
1.700000000000000000e+01,9.850000000000000000e+03,7.800000000000000000e+01,6.900000000000000000e+01,3.700000000000000000e+01,1.200000000000000000e+01,1.000000000000000000e+00,3.400000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+01,1.620000000000000000e+02
